PacketNum,PacketNumLogged,Pitch,Roll,Yaw,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,IMUTemp,HPSTemp,EXTTemp,BATTemp,PMTTemp,gpsPacketNums,gpsTimes,gpsLats,gpsLongs,gpsSpeeds,gpsAngles,gpsAlts,gpsSatNums,gpsLatErrs,gpsLongErrs,gpsAltErrs,gpsClkBiases,gpsClkDrifts,gpsTimeErrs,UTCDateTime
0,0,1.208,-1.023,0.043,0.34323275,0.3530394,9.9047165,-2.8,4.1,-1,497,2030,2425,27.46,21.8476337662319,19.849331206759,21.4289105090908,21.8009237813338,0,739056.185532413,34.5658466666664,-88.6314141666671,-2.751760956,314.96,148.5,5,-190,-32,-507,-794463,-647.09,21,19-Jun-2023 04:27:10
1,1,2.36,-1.981,0.094,0.34323275,0.34323275,9.9831697,-3,2.7,-1.6,490,2094,2432,27.67,21.7698097419057,20.1491741901621,21.2901582699171,21.7698097419057,1,739056.185543984,34.5658479999997,-88.6314076666658,-2.70854766,314.18,149,5,-186,-31,-497,-795066,-646.403,21,19-Jun-2023 04:27:11
2,2,3.469,-2.874,0.143,0.3726527,0.36284605,10.01258965,-3.1,2.2,-1.5,461,2080,2459,27.85,21.5680708196798,19.8792348877113,21.4597995990347,21.7231774815723,2,739056.185555562,34.5658493333331,-88.6314011666664,-2.665334364,313.39,149.5,5,-182,-30,-487,-795669,-645.716,21,19-Jun-2023 04:27:12
3,3,4.537,-3.743,0.203,0.42168595,0.36284605,10.002783,-3.1,2.3,-1.6,504,2037,2432,27.97,22.1602396703408,20.0140223414805,21.5216384306769,21.754260488288,3,739056.185567133,34.5658506666664,-88.6313946666669,-2.622121068,312.6,150,5,-178,-29,-477,-796272,-645.029,21,19-Jun-2023 04:27:13
4,4,5.576,-4.547,0.257,0.392266,0.34323275,10.03220295,-3.1,2.1,-1.6,447,2051,2459,28.04,21.9724233071772,19.9840382231602,21.5525882713828,21.7698097419057,4,739056.185578704,34.5658519999997,-88.6313881666665,-2.578907772,311.82,150.5,5,-174,-28,-467,-796875,-644.342,21,19-Jun-2023 04:27:14
5,5,6.575,-5.316,0.31,0.4118793,0.3334261,10.0420096,-3.3,2.1,-1.4,447,2137,2391,28.11,21.7231774815723,19.9990280357209,21.3209570646775,21.754260488288,5,739056.185590282,34.5658533333331,-88.631381666667,-2.535694476,311.03,151,5,-170,-27,-457,-797478,-643.655,21,19-Jun-2023 04:27:15
6,6,7.579,-6.035,0.368,0.32361945,0.36284605,10.01258965,-3.3,1.7,-1.5,468,2087,2453,28.19,22.0349440739926,19.9690528983467,21.4907088897507,21.754260488288,6,739056.185601853,34.5658546666664,-88.6313751666657,-2.49248118,310.25,151.5,5,-166,-26,-447,-798081,-642.968,21,19-Jun-2023 04:27:16
7,7,8.523,-6.707,0.421,0.36284605,0.34323275,10.0812362,-3.1,2.1,-1.5,440,2130,2425,28.2,21.3980415706122,19.9840382231602,21.6145490510742,21.5680708196798,7,739056.185613431,34.5658559999999,-88.6313686666663,-2.449267884,309.46,152,5,-162,-25,-437,-798684,-642.281,21,19-Jun-2023 04:27:17
8,8,9.448,-7.352,0.483,0.36284605,0.36284605,10.05181625,-2.9,2.4,-1.5,482,2087,2453,28.28,22.1445591118358,20.1040828393648,21.2286204253818,21.7076437158309,8,739056.185625002,34.565857333333,-88.6313621666668,-2.406054588,308.68,152.5,5,-158,-24,-427,-799287,-641.594,21,19-Jun-2023 04:27:18
9,9,10.33,-7.974,0.546,0.38245935,0.34323275,10.05181625,-3.1,2.2,-1.5,482,2087,2453,28.36,22.2387226412228,20.1792578219599,21.3363639514761,21.7698097419057,9,739056.185636573,34.5658586666664,-88.6313556666664,-2.362841292,307.9,153,5,-154,-23,-417,-799890,-640.907,21,19-Jun-2023 04:27:18
